254273  , -30643.8    , array([ 0.00105896 ,  0.001891   ,  1.25601e-06,  6.11663e-38,  0.000156553])
254274  , -30627.2    , array([ 0.00105896 ,  0.00188911 ,  1.25727e-06,  6.11663e-38,  0.000156553])
254275  , -30627.2    , array([ 0.00105896 ,  0.00188911 ,  1.25601e-06,  6.12275e-38,  0.000156553])
254276  , -30627.5    , array([ 0.00105896 ,  0.00188911 ,  1.25601e-06,  6.11663e-38,  0.00015671 ])
254277  , -30627.2    , array([ 0.00105896 ,  0.0018891  ,  1.25601e-06,  6.11663e-38,  0.000156553])
254278  , -30627.2    , array([ 0.00105896 ,  0.0018891  ,  1.25601e-06,  6.11663e-38,  0.000156553])
254279  , -30610.3    , array([ 0.00106002 ,  0.0018891  ,  1.25601e-06,  6.11663e-38,  0.000156553])
254280  , -30643.8    , array([ 0.00105896 ,  0.00189099 ,  1.25601e-06,  6.11663e-38,  0.000156553])
254281  , -30627.2    , array([ 0.00105896 ,  0.0018891  ,  1.25727e-06,  6.11663e-38,  0.000156553])
254282  , -30627.2    , array([ 0.00105896 ,  0.0018891  ,  1.25601e-06,  6.12275e-38,  0.000156553])
254283  , -30627.5    , array([ 0.00105896 ,  0.0018891  ,  1.25601e-06,  6.11663e-38,  0.00015671 ])
254284  , -29138.2    , array([ 0.00101842 ,  0.001661   ,  1.25601e-06,  6.11663e-38,  0.000151952])
254285  , -29138.2    , array([ 0.00101842 ,  0.001661   ,  1.25601e-06,  6.11663e-38,  0.000151952])
254286  , -29121      , array([ 0.00101944 ,  0.001661   ,  1.25601e-06,  6.11663e-38,  0.000151952])
254287  , -29155      , array([ 0.00101842 ,  0.00166266 ,  1.25601e-06,  6.11663e-38,  0.000151952])
254288  , -29138.2    , array([ 0.00101842 ,  0.001661   ,  1.25727e-06,  6.11663e-38,  0.000151952])
254289  , -29138.2    , array([ 0.00101842 ,  0.001661   ,  1.25601e-06,  6.12275e-38,  0.000151952])
254290  , -29138.7    , array([ 0.00101842 ,  0.001661   ,  1.25601e-06,  6.11663e-38,  0.000152105])
254291  , -29138.2    , array([ 0.00101842 ,  0.001661   ,  1.25601e-06,  6.11663e-38,  0.000151952])
254292  , -29138.2    , array([ 0.00101842 ,  0.001661   ,  1.25601e-06,  6.11663e-38,  0.000151952])
254293  , -29121      , array([ 0.00101944 ,  0.001661   ,  1.25601e-06,  6.11663e-38,  0.000151952])
254294  , -29155      , array([ 0.00101842 ,  0.00166266 ,  1.25601e-06,  6.11663e-38,  0.000151952])
254295  , -29138.2    , array([ 0.00101842 ,  0.001661   ,  1.25727e-06,  6.11663e-38,  0.000151952])
254296  , -29138.2    , array([ 0.00101842 ,  0.001661   ,  1.25601e-06,  6.12275e-38,  0.000151952])
